Tag,Shape,ID ,Locality,Latitude,Longitude,Deployment.Date,Recovery.Date,Volume.cm3,Surface.Area.cm2,Initial.Weight.g,Dried.Weight.g,Chamber.Weight.g,Consumed.Weight.g,Abundance
35,Cube,M-35-C,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,227,18.39,5.13,9.13,9.26,78
35,Rectangle ,M-35-R,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,262,15.59,2.61,2.79,12.8,54
35,Board,M-35-B,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,307,17.72,4.36,4.7,13.02,68
35,Longboard,M-35-LB,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,450.5,16.79,1.41,1.54,15.25,57
36,Cube,M-36-C,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,227,17.34,7.25,7.9,9.44,40
36,Rectangle ,M-36-R,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,262,17.97,4.56,4.88,13.09,47
36,Board,M-36-B,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,307,17.43,5.97,6.43,11,56
36,Longboard,M-36-LB,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,450.5,18.47,1.69,1.83,16.64,47
37,Cube,M-37-C,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,227,17.32,7.79,8.41,8.91,83
37,Rectangle ,M-37-R,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,262,16.21,3.49,3.73,12.48,36
37,Board,M-37-B,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,307,18.29,5.69,6.06,12.23,79
37,Longboard,M-37-LB,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,450.5,15.12,2.71,2.88,12.24,61
38,Cube,M-38-C,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,227,17.8,4.65,4.94,12.86,67
38,Rectangle ,M-38-R,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,262,17.51,5.11,5.36,12.15,90
38,Board,M-38-B,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,307,17.76,4.49,4.75,13.01,36
38,Longboard,M-38-LB,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,450.5,16.93,2.78,2.91,14.02,95
50,Cube,M-50-C,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,227,16.11,1.51,1.61,14.5,79
50,Rectangle ,M-50-R,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,262,15.83,0.17,0.2,15.63,86
50,Board,M-50-B,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,307,18.01,4.35,4.64,13.37,184
50,Longboard,M-50-LB,Marine,29.246417°,-90.541518°,7/22/2019,8/15/2019,231,450.5,16.42,1.11,1.17,15.25,130
5,Cube,T-5-C,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,227,15.72,7,7.64,8.08,19
5,Rectangle ,T-5-R,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,262,15.45,7.08,7.72,7.73,19
5,Board,T-5-B,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,307,15.55,5.2,5.68,9.87,218
5,Longboard,T-5-LB,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,450.5,15.32,6.29,6.88,8.44,59
11,Cube,T-11-C,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,227,15.14,7.47,8.11,7.03,2
11,Rectangle ,T-11-R,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,262,15.2,7.13,7.78,7.42,4
11,Board,T-11-B,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,307,15.84,6.79,7.4,8.44,11
11,Longboard,T-11-LB,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,450.5,16.56,5.73,6.25,10.31,190
17,Cube,T-17-C,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,227,15.69,7.12,7.78,7.91,0
17,Rectangle ,T-17-R,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,262,15.7,7.29,7.99,7.71,5
17,Board,T-17-B,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,307,15.9,6.75,7.4,8.5,17
17,Longboard,T-17-LB,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,450.5,15.95,4.06,4.41,11.54,23
22,Cube,T-22-C,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,227,14.05,6.62,7.23,6.82,2
22,Rectangle ,T-22-R,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,262,16.67,7.36,8.03,8.64,4
22,Board,T-22-B,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,307,14.56,6.41,6.96,7.6,4
22,Longboard,T-22-LB,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,450.5,16.88,7.17,7.82,9.06,111
26,Cube,T-26-C,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,227,15.16,6.73,7.36,7.8,36
26,Rectangle ,T-26-R,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,262,14.84,6.64,7.23,7.61,35
26,Board,T-26-B,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,307,14.97,5.47,5.93,9.04,129
26,Longboard,T-26-LB,Terrestrial,29.256232°,-90.665152°,7/22/2019,8/15/2019,231,450.5,15.08,6.64,7.23,7.85,23
