,Amph-1,Amph-2,Amph-3,Amph-4,Amph-5,Amph-6,Amph-7,Deca-1,Deca-2,Deca-larva,Acari-1,Acari-2,Pseudoscorp-1,Pseudoscorp-2,Dipt-1,Dipt-2,Dipt-3,Hemi-1,Hemi-2,Coll-1,Coll-2,Coll-3,Coll-4,Thysan-1,Aran-1,Aran-2,Poly-1,Poly-2,Poly-3,Poly-4,Poly-5,Poly-6,Poly-7,Holo-1,Hyd-1,Anem-1,Bry-1,Gas-1,Gas-2,Gas-3,Gas-4,Gas-5,Biv-1,Biv-2,Nemt-1,Nem-1,Oli-1,Fish-1,WTF-1,WTF-2
M-35-C,25,,,,,,,,,,,,,,,,,,,,,,,,,,35,,1,,,,,,,,10,4,,,,,2,,,1,,,,
M-35-R,14,3,5,,,,,,,,,,,,,,,,,,,,,,,,15,,,1,,,,,,,,,,,,,1,,15,,,,,
M-35-B,30,1,2,,,,,,,,,,,,,,,,,,,,,,,,31,,1,,,,,,1,,,1,,,,,1,,,,,,,
M-35-LB,15,6,2,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,2,,,,,2,,,1,,,,
M-36-C,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,1,,,,,,,,,,,,,,,
M-36-R,5,5,,,1,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,10,2,1,,,,1,,,,,,,
M-36-B,13,7,1,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,10,,10,,,,,,,,,,,,,
M-36-LB,8,8,,,,,,1,,,,,,,,,,,,,,,,,,,26,,2,,,,,,1,,1,,,,,,,,,,,,,
M-37-C,8,6,2,,,,,,,,,,,,,,,,,,,,,,,,35,,12,,,,,,10,,10,,,,,,,,,,,,,
M-37-R,8,8,,1,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,1,,,5,,,,,,,,,,,,
M-37-B,15,7,1,,,,,,,,,,,,,,,,,,,,,,,,39,,17,,,,,,,,,,,,,,,,,,,,,
M-37-LB,12,11,,,,,,4,,,,,,,,,,,,,,,,,,,16,2,6,,,,,,1,,,8,,,,,1,,,,,,,
M-38-C,32,14,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,1,,,3,,,,,1,,,,,,,
M-38-R,32,28,,,1,,,,,,,,,,,,,,,,,,,,,,21,1,1,,,,,,,,,6,,,,,,,,,,,,
M-38-B,5,10,,,1,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,3,,,,,1,,,,,,,
M-38-LB,15,21,,,,3,,2,,,,,,,,,,,,,,,,,,,18,,21,,,,,,1,,,10,,,,,3,1,,,,,,
M-50-C,30,2,,,,1,,3,1,,,,,,,,,,,,,,,,,,13,,8,6,,,,,1,,10,4,,,,,,,,,,,,
M-50-R,70,,,,2,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,9,1,,,1,,,,,,,,,,,,
M-50-B,103,12,2,,1,,,1,,2,,,,,,,,,,,,,,,,,15,,22,4,,,,,10,,10,,,,,,1,,,,,,1,
M-50-LB,58,17,2,,,,,3,,,,,,,,,,,,,,,,,,,14,,12,,,,,1,10,1,,11,,,,,,,,,1,,,
T-5-C,,,,,,,1,,,,9,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,1
T-5-R,,,,,,,,,,,4,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,
T-5-B,,,,,,,,,,,8,,,,,116,,,,8,,,1,,,1,,,,,3,24,,,,,,,,56,,,,,,,,1,,
T-5-LB,,,,,,,,,,,13,,,,,17,,1,,,,,,,,,,,,,1,,,,,,,,,24,2,,,,,,,,,1
T-11-C,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
T-11-R,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
T-11-B,,,,,,,3,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
T-11-LB,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,40,,,,,,,,144,,1,,,,,,,,
T-17-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-17-R,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-17-B,,,,,,,1,,,,2,,,,1,5,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,,
T-17-LB,,,,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,2,,,,,,,,13,1,,,,,,,,,
T-22-C,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
T-22-R,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
T-22-B,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
T-22-LB,,,,,,,5,,,,3,1,,,,1,,3,,87,,,1,,,,,,,,,6,,,,,,,,3,,,,,,,,1,,
T-26-C,,,,,,,3,,,,6,,,,,,,1,,18,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,1
T-26-R,,,,,,,,,,,10,,,,,,,1,,5,,,,,,,,,,,1,,,,,,,,,17,,1,,,,,,,,
T-26-B,,,,,,,,,,,3,,,,,40,,,,4,,,,,,,,,,,4,57,,,,,,,,20,,1,,,,,,,,
T-26-LB,,,,,,,3,,,,11,,,,,,,2,1,1,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,
